year,city,state,admin_financial,admin_judicial,admin_other,administration,air_transit,commercial_activ,correction,educ_elem_sec,educ_higher,education,education_services,envir_housing,fire,health,highways,hospitals,housing_commdevt,inspection,interest_general,libraries,misc,natural_resources,other_gen_spending,parking,parks_recreation,police,public_buildings,public_safety,public_welfare,seaport,sewerage,social_services,sp_empl_retire_tr,spend_intergovt,spend_liquor_store,spending_direct,spending_general,spending_utility,transportation,utility_elec,utility_gas,utility_transit,utility_water,waste_mgmt,welfare_cash,welfare_other,welfare_vendors,percentChange_police,percentChange_correction,percentChange_fire,percentChange_inspection,percentChange_public_safety,ratio_police_public_welfare,combined_police,combined_public_welfare,rank_public_safety,pct_social,pct_police,police_2017,police_1977,social_2017,social_1977
1991,Eugene,OR,102.67,49.5,179.72,400.97,52.15,0,140.25,1259.07,0,1259.07,1294.6,531.02,124.64,103.69,450.64,0,97.18,31.05,70.21,35.53,233.25,3.31,233.25,17.24,254.04,262.28,69.08,558.22,48.77,0.45,126.97,152.46,0,2.6,0,6191.78,3761.22,2430.56,520.47,2214.31,0,97.97,118.28,49.54,0,43.27,5.5,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,5.377896247693253,0.8432084873814499,0.1567915126185501,58,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
1992,Eugene,OR,56.23,52.33,198.33,361.02,98.96,0,58.14,1206.49,0,1206.49,1250.17,496.31,132.18,131.44,410.98,0,58.18,42.5,60.36,43.68,216.55,2.71,216.55,22.27,249.64,275.27,54.13,508.09,41.94,0,162.35,173.38,0,4.25,0,6472.72,3598.08,2874.64,532.21,2695.16,0,70.03,109.45,23.42,0,41.94,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,6.56342393896042,0.8677847482740141,0.13221525172598594,79,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
1993,Eugene,OR,77.1,50.35,55.76,244.62,35.32,0,76.38,1188.04,0,1188.04,1230.84,414.89,152.76,118.55,453.64,0,43.86,34.64,52.76,42.8,322.91,5.33,322.91,30.53,181.98,267.35,61.4,531.13,41.8,0,144.57,160.35,0,0.22,0,5837.44,3476.99,2360.45,519.48,2194.97,0,72.72,92.76,39.16,0,41.8,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,6.395933014354068,0.8647905547468866,0.13520944525311335,66,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
1994,Eugene,OR,77.76,41.49,112.34,533.56,50.81,0,75.19,1199.4,0,1199.4,1242.47,472.4,165.21,123.07,754.6,0,44.08,39.82,74.97,43.07,299.96,5.24,299.96,14.94,197.98,285.42,301.95,565.64,42.66,0,188.35,165.73,0,0,0,6586.21,4175.08,2411.14,820.35,2211.39,0,106.19,93.56,36.74,0,42.66,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,6.69057665260197,0.8699707388441843,0.13002926115581562,62,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
1995,Eugene,OR,55.32,51.16,110.99,266.14,71.97,0,92.94,1229.98,0,1229.98,1277.65,636.36,153.26,165.6,345.38,0,141.88,44.24,76.06,47.67,443.72,6.04,443.72,29,210.16,252.29,48.67,542.73,33.74,0,227.52,199.34,0,0,0,5947.72,3888.34,2059.38,446.35,1852.21,0,79.43,127.74,50.76,0,33.74,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,7.477474807350325,0.8820403454183128,0.11795965458168725,73,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
1996,Eugene,OR,57.5,52.7,115.18,456.83,73.57,0,95.43,1242.58,0,1242.58,1286.74,703.8,117.23,155.06,310.5,0,195.57,49.91,93.86,44.16,260.61,7.89,260.61,24.52,245.21,302.15,231.45,564.72,40.4,0,195.56,195.46,0,0,0,5372.08,3970.61,1401.47,408.6,1196.43,0,92.46,112.58,59.55,0,40.4,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,7.478960396039604,0.8820610129908043,0.11793898700919575,70,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
1997,Eugene,OR,58.48,50.57,110.11,470.33,40.95,0,115.28,1174.55,0,1174.55,1226.57,715.69,120,161.14,332.05,0,160.59,69.58,88.81,52.01,257.9,2.93,257.9,40.22,256.6,302.19,251.17,607.05,47.9,0,216.09,209.04,0,0,0,5525.55,3988.59,1536.96,413.22,1299.38,0,112.55,125.03,79.47,0,47.9,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,6.308768267223382,0.8631780399325888,0.13682196006741124,58,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
1998,Eugene,OR,52.94,53.5,107.77,528.56,32.95,0,132.1,1232.83,0,1232.83,1277.01,625.05,135.88,163.36,262.55,0,182.35,59,97.6,44.19,239.48,2.82,239.48,26.18,213.19,283.45,314.35,610.43,44.79,0.62,157.53,208.15,0,0,0,5369.66,3908.58,1461.07,322.3,1176.54,0,127.62,156.92,69.17,0,44.79,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,6.3284215226613085,0.8635449670972458,0.13645503290275407,61,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
1999,Eugene,OR,63.13,56.36,112.08,521.39,33.89,0,179.27,1293.64,0,1293.64,1339.48,564.35,136.77,232.27,246.77,0,148.86,57.21,104.54,45.84,207.54,2.9,207.54,26.66,204.63,313.5,289.82,686.75,68.53,1.2,162.47,300.81,0,0,0,5692.67,4033.37,1659.3,308.52,1368.34,0,126.41,164.56,45.49,0,68.53,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,4.574638844301766,0.8206161819752376,0.17938381802476247,47,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2000,Eugene,OR,55.11,57.52,119.63,503.44,56.77,0,104.58,1200.82,0,1200.82,1250.73,590.63,123.12,245.37,267.37,0,149.66,44.44,86.66,49.92,209.85,0,209.85,25.25,201.87,316.29,271.18,588.42,118.77,1.73,189.16,364.14,0,0,0,5287.4,3945,1342.4,351.12,1138.19,0,96.05,108.16,49.94,0,118.77,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,2.6630462237938874,0.7270031719762792,0.27299682802372083,78,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2001,Eugene,OR,81.67,61.95,80.75,578.31,73.16,0,105.58,1183.34,0,1183.34,1232.79,680.53,180.23,199.35,311.79,0,215.38,43.4,114.78,49.45,396.17,0,396.17,24.79,199.97,324.56,353.94,653.76,124.42,2.23,203.57,323.77,0,0,0,6632.64,4392.07,2240.57,411.97,1940.81,0,113.9,185.86,61.62,0,124.42,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,2.6085838289664043,0.7228829791972916,0.27711702080270834,59,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2002,Eugene,OR,54.02,62.76,78.97,591.12,94.95,0,105.78,1176.58,0,1176.58,1225.52,639.79,185.5,185.52,301.25,0,178.81,40.01,114.91,48.94,373.13,0.42,373.13,21.36,200.62,354.64,395.37,685.93,160.39,2.73,214.44,345.91,0,0,0,6372.17,4396.59,1975.58,420.29,1724.36,0,121.38,129.84,45.5,0,160.39,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,2.211110418355259,0.6885812476943091,0.31141875230569094,60,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2003,Eugene,OR,56.85,58.78,84.22,603.25,96.18,0,93.42,1227.94,0,1227.94,1287.21,677.86,192.11,212.93,266.14,0,178.28,38.91,131.3,59.27,390.13,20.42,390.13,21.56,194.45,330.21,403.39,654.65,158.56,2.62,217.85,371.49,0,0,0,6802.86,4502.38,2300.48,386.5,1929.11,0,138.6,232.77,66.86,0,158.56,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,2.082555499495459,0.6755938375923236,0.32440616240767645,66,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2004,Eugene,OR,55.04,58.57,81.09,533.29,79.99,0,99.38,1293.09,0,1293.09,1368.29,634.74,185.87,190.61,236.08,0,187.69,37.68,162.2,75.2,411.03,16.09,411.03,18.75,201.69,335.22,338.59,658.15,137.38,2.49,183.49,327.98,0,314.13,0,6599.75,4433.01,2166.74,337.31,1900.45,0,153.28,113.01,45.78,0,137.38,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,2.4400931722230315,0.7093101988997038,0.2906898011002962,63,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2005,Eugene,OR,51.91,58.61,83.51,498.59,173.25,0,91.52,1255.91,0,1255.91,1324.38,637.06,183.02,200.86,260.97,0,162.71,36.92,140.96,68.46,377.76,20.4,377.76,17.31,205.17,341.49,304.57,652.95,141.27,2.36,199.64,342.12,0,0,0,6476.18,4427.71,2048.47,453.89,1751.74,0,144.93,151.79,49.14,0,141.27,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,2.4172860479932043,0.7073701217996521,0.292629878200348,72,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2006,Eugene,OR,55.11,57.79,85.31,430.27,115.79,0,119.24,1248.1,0,1248.1,1328.11,670.42,211.05,185.81,201.91,0,157.68,44.77,109.9,80.01,176.69,21.54,176.69,26.83,237.72,377.29,232.06,752.35,112.35,2.23,198.48,298.15,0,22.64,0,6122.64,4112.66,2009.97,346.76,1702.15,0,156.12,151.71,55,0,112.35,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,3.358166444147753,0.7705457070500776,0.2294542929499224,50,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2007,Eugene,OR,43.23,60.29,62.42,417.59,89.66,0,112.84,1184.71,0,1184.71,1269.68,688.81,225.4,182.33,191.03,0,169.4,50.29,111.87,84.98,190.67,20.59,190.67,26.38,244.21,397.11,251.66,785.63,106.79,2.11,191.18,289.12,0,30.61,0,6227.3,4062.54,2164.76,309.17,1827.15,0,176.78,160.83,63.43,0,106.79,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,3.718606611105909,0.7880730303631672,0.2119269696368327,55,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2008,Eugene,OR,53.64,55.76,82.95,485.56,101.51,0,110.65,1178.78,0,1178.78,1257.44,693.09,218.02,156.74,180.01,0,167.29,49.7,93.31,78.65,206.46,17.78,206.46,24.31,235.78,383.27,293.2,761.63,111.51,2.32,193.43,268.25,0,23.8,0,6179.45,4073.9,2105.55,308.15,1797.91,0,162.91,144.73,78.81,0,111.51,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,3.4370908438705046,0.7746271069970492,0.22537289300295082,62,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2009,Eugene,OR,53.33,59.83,101.33,474.4,81.7,0,125.79,1188.46,0,1188.46,1266.13,713.49,214.14,175.42,183.61,0,170.5,50.92,107.33,77.67,154.39,15.13,154.39,25.17,238.79,373.08,259.9,763.94,101.15,2.62,233.77,276.56,0,7.82,0,6420.73,4049.34,2371.39,293.1,1990.42,0,177.39,203.58,55.3,0,101.15,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,3.688383588729609,0.7867068721928178,0.21329312780718218,68,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2010,Eugene,OR,42.79,63.49,88.87,527.78,133.28,0,130.11,1097.18,0,1097.18,1181.73,647.57,203.72,195.13,172.42,0,151.72,48.83,100.42,84.55,135.32,13.38,135.32,24.79,227.11,351.5,332.62,734.16,84.29,2.87,191.98,279.43,0,6.66,0,6190.07,3939.76,2250.31,333.35,1784.08,0,228.91,237.31,63.37,0,84.29,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,4.170126942697829,0.8065811514720392,0.1934188485279607,72,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2011,Eugene,OR,41.26,57.66,106.6,455.69,66.14,0,141.41,1044.46,0,1044.46,1125.98,631.77,200.16,197.78,168.1,0,141.33,43.21,79.7,81.52,133.59,9.74,133.59,34.34,218.94,362.1,250.15,746.87,92.25,3.07,201.18,290.02,0,5.31,0,6025.57,3735.28,2290.3,271.65,1932.71,0,173.41,184.18,60.58,0,92.25,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,3.9252032520325204,0.7969626939584021,0.20303730604159786,62,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2012,Eugene,OR,40.18,58.43,115.84,508.66,66.11,0,127.55,1013.07,0,1013.07,1087.56,656.34,212.27,194.91,181.1,0,130.37,45.24,82.78,74.49,129.18,9.69,129.18,25.64,227.6,384.84,294.21,769.9,92.14,3.28,230.45,287.05,0,5.8,0,5887.13,3797.6,2089.53,276.13,1700.04,0,192.45,197.04,58.23,0,92.14,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,4.176687649229433,0.8068262820244035,0.1931737179755965,52,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2013,Eugene,OR,36.31,62.27,98.68,426.37,62.29,0.03,109.08,1011.12,0,1011.12,1082.6,644.72,210.52,163.08,192.46,0,132.67,45.77,78.75,71.47,111.32,9.95,111.3,22.84,229.13,394.9,229.12,760.27,51.78,3.64,217.45,214.86,0,3.79,0,5478.23,3600.14,1878.09,281.24,1543.2,0,145.82,189.07,55.52,0,51.78,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,7.626496716879103,0.884078087221277,0.11592191277872303,51,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2014,Eugene,OR,33.87,59,100.74,442.32,88.18,0.05,108.6,1035.13,0,1035.13,1104.93,650.37,209.8,170.76,180.48,0,135.63,44.65,63.72,69.8,87.81,10.1,87.76,24.13,237.98,361.35,248.72,724.4,60.35,4,213.71,231.1,0,3.63,0,5530.07,3601.44,1928.63,296.79,1534.89,0,176.68,217.06,52.94,0,60.35,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,5.987572493786248,0.8568887834953758,0.14311121650462413,63,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2015,Eugene,OR,32.82,62.16,98.64,456.86,108.97,0.08,111.11,1260.65,0,1260.65,1335.9,649.52,214.49,176.83,159.18,0,125.49,46.3,79.18,75.25,90.28,11.01,90.2,24.25,227.59,384.2,263.24,756.1,55.39,4.38,230.58,232.22,9.12,3.6,0,5912.57,3896.82,2006.63,296.78,1545.61,0,227.72,233.31,54.84,0,55.39,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,6.936270084852861,0.8739962237539526,0.12600377624604747,60,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2016,Eugene,OR,33.11,60.64,101.85,434.7,124.72,0.1,117.07,1262.68,0,1262.68,1337.72,668.54,225.29,199.26,144.39,0,134.31,49.21,74.87,75.04,89.94,13.04,89.84,26.32,224.48,383.96,239.09,775.53,43.15,4.68,227.41,242.41,9,3.64,0,5832.21,3923.81,1899.41,300.1,1445.2,0,235.04,219.17,69.29,0,43.15,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,8.898261877172652,0.8989721617381939,0.1010278382618061,58,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
2017,Eugene,OR,35.8,60.04,108.72,424.89,99.53,0,121.03,1226.34,0,1226.34,1309.46,668.73,224.35,207.78,149.79,0,143.13,53.43,74.62,83.11,81.68,13.16,81.68,30.44,238.53,378.58,220.32,777.39,41.23,4.88,211.67,249.01,10.1,4.05,0,5792.23,3870.42,1911.71,284.63,1456.41,0,260.83,194.46,62.25,0,41.23,0,0.6355467231174665,1.0924965421853388,0.5028804930332261,7.831404958677687,0.7483582223821519,9.18214892068882,0.9017889045044186,0.09821109549558132,62,80.16999770273375,74.83582223821519,777.39,444.64,392.14,217.64999999999998
1977,Fairbanks,AK,248.65,0,180.1,433.87,0,0,0,3288.2,0,3288.2,3636.21,2399.29,567.37,104.14,590.34,0,0,50.68,297.84,348,2287.19,0.87,2287.19,0,216.44,459.94,5.13,1077.99,0,0,2064.68,104.14,0,0,0,13823,10826.87,2996.13,590.34,2486.46,0,0,509.67,117.31,0,0,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,Inf,1,0,2,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1978,Fairbanks,AK,235.24,0,225.45,470.26,0,0,0,3346.64,0,3346.64,3700.74,616.72,632.09,86.04,416.12,0,3.3,49.21,307.86,354.1,1717.75,0.88,1717.75,2.96,214.66,533.5,9.56,1214.8,0,0,275.79,86.04,0,0,0,10611.58,8533.24,2078.34,419.08,1762.2,0,0,316.13,122.08,0,0,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,Inf,1,0,2,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1979,Fairbanks,AK,212.81,0,241.84,525.01,0,0,0,2498.9,0,2498.9,2573.26,703.04,541.95,36.02,762.36,0,19.54,72.11,444.54,74.36,2273.3,16.61,2273.3,0,227.12,525.22,70.37,1139.28,74.55,0,289.25,110.57,0,0,0,10116.17,8531.35,1584.82,762.36,1167.67,0,56.54,360.62,150.53,0,74.55,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,7.045204560697519,0.8757023525684846,0.12429764743151542,2,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1980,Fairbanks,AK,213.67,0,205.87,465.15,0,0,0,2514.29,0,2514.29,2577.74,703.75,446.01,25.93,557.12,0,39.41,70.16,457.73,63.45,1494.01,17.12,1494.01,2.25,224.38,465.49,45.6,981.65,47.95,0,329.34,73.88,0,0,0,8938.32,7313.28,1625.03,559.37,1004.5,0,56.84,563.69,93.5,0,47.95,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,9.707820646506777,0.9066103147397943,0.09338968526020566,2,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1981,Fairbanks,AK,209.84,0,179.6,434.44,0,0,0,2376.04,0,2376.04,2442.48,737.49,514.55,22.82,389.21,0,19.89,51.08,364.13,66.44,1477.03,2.25,1477.03,5.83,307.97,396.06,44.99,961.7,25.08,0,313.17,47.9,0,0,0,8160.32,6860.21,1300.11,395.04,904.18,0,67.24,328.69,94.21,0,25.08,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,15.791866028708135,0.9404473571733866,0.059552642826613475,2,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1982,Fairbanks,AK,602.82,43.15,122.61,814.3,0,0,0,2988.04,0,2988.04,3059.65,1306.92,649.04,75.54,337.49,0,191.26,58.8,299.83,71.61,1932.43,54.19,1932.43,7.64,670.48,851,45.71,1558.85,32.74,0,348.18,108.28,0,0,0,10961.19,9425.38,1535.81,345.13,1108.42,0,175.23,252.15,42.81,0,32.74,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,25.992669517409894,0.9629529047004775,0.037047095299522485,1,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1983,Fairbanks,AK,269.11,46.78,176.87,586.95,0,0,0.08,3950.69,0,3950.69,4031.91,1154.15,405.42,55.62,937.14,0,214.09,63.7,396.7,81.22,1929.34,112.4,1929.34,23.25,359.51,413.44,94.19,882.64,33.51,0,366.76,89.12,0,0,0,11792.54,10031.21,1761.34,960.39,1264.75,0,77.6,418.98,101.4,0,33.51,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,12.33780960907192,0.9250251706007384,0.07497482939926166,2,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1984,Fairbanks,AK,239.68,45.24,166.28,541.42,0,0,0.07,3798.77,0,3798.77,3876.44,1099.28,392.22,51.85,758.18,0,159.85,63.88,360.59,77.68,2185.03,108.09,2185.03,14.52,368.75,373.6,90.22,829.77,38.77,0,364.36,90.62,0,0,0,10914.75,9755.85,1158.91,772.69,865.5,0,74.62,218.79,98.21,0,38.77,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,9.636316739747228,0.9059824914518515,0.09401750854814851,3,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1985,Fairbanks,AK,176.93,30.99,203.04,492.87,0,0,0,3068.59,0,3068.59,3125.82,580.49,371.19,21.01,904.23,0,0,58.45,401.41,57.24,2023.61,3.07,2023.61,9.09,226.58,383.99,81.9,813.63,0,0,238.17,21.01,0,0,0,9671.59,8372.17,1299.42,913.32,990.9,0,77.25,231.27,112.67,0,0,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,Inf,1,0,5,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1986,Fairbanks,AK,197.93,40.04,175.96,480.83,0,0,0,3051.22,0,3051.22,3114.18,468.27,446.94,21.69,614.95,0,0,65.06,464.58,62.96,3552.5,23.89,3552.5,4.21,117.72,427.41,66.9,939.4,63.03,0,223.66,84.71,0,0,0,11166.16,9723.64,1442.52,619.16,1134.06,0,82.81,225.65,103.01,0,63.03,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,6.781056639695383,0.8714827501835086,0.1285172498164913,3,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1987,Fairbanks,AK,184.87,42.3,129.73,427.1,0,0,0,2872.07,0,2872.07,2914.16,733.56,381.89,11.68,421.07,0,176.45,58.06,649.52,42.09,1695.4,66.36,1695.4,3.9,46.2,344.65,70.2,784.61,58.08,0,328.28,69.76,0,0,0,8882.87,7699.08,1183.79,424.96,940.1,0,60.58,183.11,116.29,0,58.08,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,5.934056473829201,0.8557842723412709,0.14421572765872917,11,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1988,Fairbanks,AK,175.81,35.6,104.84,367.4,0,0,0,2585.15,0,2585.15,2626.8,674.4,363.84,113.71,653.5,0,169.86,51.38,650.29,41.65,1459.17,53.34,1459.17,0,132.08,303.06,51.15,718.27,62,0,242.75,175.7,0,0,0,9441.7,7325.54,2116.16,653.5,1778.85,0,41,296.3,76.37,0,62,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,4.888064516129032,0.8301649043992768,0.16983509560072316,15,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1989,Fairbanks,AK,152.43,39.51,104.93,339.4,0,0,0,2944.89,0,2944.89,2986.17,616.84,304.16,33.49,382.87,0,166,40.34,667.47,41.29,2373.77,54.61,2373.77,0,167.4,266.37,42.54,610.87,63.48,0,185.9,96.97,0,0,0,8931.4,8074.36,857.04,382.87,676.47,0,34.68,145.89,42.94,0,63.48,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,4.196124763705105,0.8075488858572077,0.19245111414279215,41,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1990,Fairbanks,AK,141.62,38.63,107.97,321.24,0,0,0,2466.98,0,2466.98,2512.11,1159.32,273.41,53.39,360.29,0,97,40.04,637.73,45.13,1446.66,0.05,1446.66,0,631.06,268.12,33.02,581.57,56.13,0,387.64,109.51,0,0,0,8663.34,7128.43,1534.92,360.29,701.79,0,32.05,801.08,43.58,0,56.13,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,4.776768216639943,0.8268928296067849,0.17310717039321513,46,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1991,Fairbanks,AK,137.81,37.67,105.11,312.68,0,0,0,2393.01,0,2393.01,2436.85,1143.21,267.29,51.91,350.74,0,112.87,39.09,573.6,43.85,1410.74,0.05,1410.74,0,608.52,262.45,32.09,568.83,54.54,0,379.43,106.46,0,0,0,8405.27,6903.11,1502.16,350.74,686.96,0,31.15,784.05,42.35,0,54.54,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,4.812064539787312,0.8279440991829394,0.17205590081706046,52,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1992,Fairbanks,AK,99.85,30.35,55.71,216.3,0,0,0,2142.65,0,2142.65,2186.48,501.19,211.36,40.21,260.6,0,90.03,38.83,677.39,43.83,1298.45,0,1298.45,0,120.44,200.02,30.39,450.21,52.6,0,234.33,92.81,0,0,0,7189.42,5683.44,1505.98,260.6,751.37,0,33.17,721.44,56.38,0,52.6,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,3.802661596958175,0.7917821233473201,0.2082178766526799,98,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1993,Fairbanks,AK,132.16,36.79,43.64,241.37,0,0,0,2738.24,0,2738.24,2780.69,587.75,265.6,24.4,332.4,0,103.78,19.86,465.32,42.46,1382.93,0,1382.93,0,67.21,254.92,28.78,540.38,48.13,0,370.66,72.53,0,0,0,7858.33,6403.38,1454.95,332.4,667.16,0,26.58,761.2,46.1,0,48.13,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,5.296488676501142,0.841181323213991,0.15881867678600892,61,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1994,Fairbanks,AK,125.17,34.18,54.25,241.5,0,0,0,2329.81,0,2329.81,2372.05,608.12,277.4,24.14,334.79,0,106.97,21.29,558.68,42.24,1639.21,0,1639.21,0,55.83,273.43,27.91,572.12,46.66,0,402.9,70.8,0,0,0,7786.41,6397.28,1389.13,334.79,660.77,0,41.56,686.8,42.42,0,46.66,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,5.860051435919417,0.8542284982348713,0.14577150176512854,60,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
1995,Fairbanks,AK,125.15,33.66,54.67,240.44,0,0,0,2231.04,0,2231.04,2273.47,664.66,275.12,23.61,342.45,0,114.78,21.8,517.44,42.43,2117.07,0,2117.07,0,56.89,280.05,26.96,576.98,45.09,0,451.89,68.69,0,0,0,8819.42,6801.21,2018.21,342.45,1031.2,0,77.67,909.34,41.1,0,45.09,0,-0.548310649215115,NA,-0.4213476214815729,-0.5686661404893449,-0.482434901993525,6.210911510312708,0.8613212769883744,0.1386787230116258,61,89.84059919339349,-48.24349019935251,557.93,1077.99,197.7,104.14
