"Institution Name","City","State","movingAverage_cases","UGDS"
"","St. Paul, MN","Higher Education",0,7119
"","Kansas City, MO","Higher Education",0,6564.27
"","St. Louis, MO","Higher Education",0,6280.6
"","Gulfport, MS","Higher Education",0,10776
"","Jackson, MS","Higher Education",0,3647.59
"","Billings, MT","Higher Education",0,3880.18
"","Missoula, MT","Higher Education",0,3876.79
"","Charlotte, NC","Higher Education",2.15691894619768,8163.96
"","Durham, NC","Higher Education",3.29539466206512,3871.16
"","Greensboro, NC","Higher Education",4.29387944000926,4321.5
"","Raleigh, NC","Higher Education",4.02653461151422,4531.44
"","Bismarck, ND","Higher Education",0,5080.89
"","Fargo, ND","Higher Education",0,6022.56
"","Lincoln, NE","Higher Education",0,4207.05
"","Omaha, NE","Higher Education",0,6315.41
"","Manchester, NH","Higher Education",0,4210.3
"","Nashua, NH","Higher Education",0,3739.94
"","Albuquerque, NM","Higher Education",0,3750.4
"","Las Cruces, NM","Higher Education",0,3624.34
"","Las Vegas, NV","Higher Education",0,5534.99
"","Reno, NV","Higher Education",0,5113.63
"","Buffalo, NY","Higher Education",1.65634276433522,8041.21
"","New York, NY","Higher Education",1.04435398925935,15617.31
"","Rochester, NY","Higher Education",2.08502668127363,9338.01
"","Syracuse, NY","Higher Education",2.61984650923188,7978.33
"","Yonkers, NY","Higher Education",1.38774675021331,10360.68
"","Akron, OH","Higher Education",0.200504688400602,5690.64
"","Cincinnati, OH","Higher Education",0,7433.71
"","Cleveland, OH","Higher Education",0,9149.04
"","Columbus, OH","Higher Education",0.0835776662404959,6640.53
"","Dayton, OH","Higher Education",0,5923.53
"","Toledo, OH","Higher Education",0,5693.94
"","Oklahoma, OK","Higher Education",0.0124220918802726,3703.08
"","Tulsa, OK","Higher Education",0,4291.09
"","Eugene, OR","Higher Education",0,5796.28
"","Portland, OR","Higher Education",0,6768.18
"","Salem, OR","Higher Education",0,4408.25
"","Philadelphia, PA","Higher Education",0,8342.49
"","Pittsburgh, PA","Higher Education",0,8347.7
"","Providence, RI","Higher Education",0,5871.57
"","Warwick, RI","Higher Education",0,4889.3
"","Charleston, SC","Higher Education",0,4999.62
"","Columbia, SC","Higher Education",0,5953.9
"","Rapid City, SD","Higher Education",0,3448.56
"","Sioux Falls, SD","Higher Education",3.9538777504257,4216.62
"","Chattanooga, TN","Higher Education",0,11319.27
"","Knoxville, TN","Higher Education",0,8398.52
"","Memphis, TN","Higher Education",0,7538
"","Nashville, TN","Higher Education",0,7199.62
"","Arlington, TX","Higher Education",0,4647.24
"","Austin, TX","Higher Education",0,7647.31
"","Corpus Christi, TX","Higher Education",0,4789.14
"","Dallas, TX","Higher Education",0,6667.42
"","El Paso, TX","Higher Education",0,5122.19
"","Ft. Worth, TX","Higher Education",0,5177.76
"","Garland, TX","Higher Education",0,6409.53
"","Houston, TX","Higher Education",0,5898.59
"","Lubbock, TX","Higher Education",0,7027.45
"","San Antonio, TX","Higher Education",0,7062.64
"","Provo, UT","Higher Education",0,4775.53
"","Salt Lake City, UT","Higher Education",0,7204.92
"","Chesapeake, VA","Higher Education",0,4689.76
"","Norfolk, VA","Higher Education",0,6366.17
"","Richmond, VA","Higher Education",0,6898.7
